Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Trading Symbol,Formatted Ins Name,Expiry Date,Lot Size,Tick Size
CDS,cde_fo,JPYINR,5270,OPTCUR,PE,57,JPYINR,JPYINR09MAY25P57,JPYINR 9th MAY 57 PE,2025-05-09,1,0.0025
CDS,cde_fo,JPYINR,5271,OPTCUR,CE,57.25,JPYINR,JPYINR09MAY25C57.25,JPYINR 9th MAY 57.25 CE,2025-05-09,1,0.0025
CDS,cde_fo,JPYINR,5272,OPTCUR,PE,57.25,JPYINR,JPYINR09MAY25P57.25,JPYINR 9th MAY 57.25 PE,2025-05-09,1,0.0025
CDS,cde_fo,JPYINR,5273,OPTCUR,CE,57.5,JPYINR,JPYINR09MAY25C57.5,JPYINR 9th MAY 57.5 CE,2025-05-09,1,0.0025
CDS,cde_fo,USDINR,5274,OPTCUR,CE,85.625,USDINR,USDINR17APR25C85.625,USDINR 17th APR 85.625 CE,2025-04-17,1,0.0025
CDS,cde_fo,JPYINR,5275,OPTCUR,PE,48,JPYINR,JPYINR29DEC25P48,JPYINR DEC 48 PE,2025-12-29,1,0.0025
CDS,cde_fo,JPYINR,5276,OPTCUR,CE,48.25,JPYINR,JPYINR29DEC25C48.25,JPYINR DEC 48.25 CE,2025-12-29,1,0.0025
CDS,cde_fo,GBPINR,5277,OPTCUR,CE,104.5,GBPINR,GBPINR17APR25C104.5,GBPINR 17th APR 104.5 CE,2025-04-17,1,0.0025
CDS,cde_fo,JPYINR,5278,OPTCUR,PE,57.5,JPYINR,JPYINR09MAY25P57.5,JPYINR 9th MAY 57.5 PE,2025-05-09,1,0.0025
CDS,cde_fo,JPYINR,5279,OPTCUR,CE,57.75,JPYINR,JPYINR09MAY25C57.75,JPYINR 9th MAY 57.75 CE,2025-05-09,1,0.0025
CDS,cde_fo,GBPINR,5280,OPTCUR,PE,104,GBPINR,GBPINR28MAY25P104,GBPINR MAY 104 PE,2025-05-28,1,0.0025
CDS,cde_fo,GBPINR,5281,OPTCUR,CE,104.25,GBPINR,GBPINR28MAY25C104.25,GBPINR MAY 104.25 CE,2025-05-28,1,0.0025
CDS,cde_fo,JPYINR,5282,OPTCUR,CE,63.25,JPYINR,JPYINR16MAY25C63.25,JPYINR 16th MAY 63.25 CE,2025-05-16,1,0.0025
CDS,cde_fo,GBPINR,5283,OPTCUR,CE,108,GBPINR,GBPINR27MAR26C108,GBPINR 27th MAR26 108 CE,2026-03-27,1,0.0025
CDS,cde_fo,JPYINR,5284,OPTCUR,PE,57.75,JPYINR,JPYINR09MAY25P57.75,JPYINR 9th MAY 57.75 PE,2025-05-09,1,0.0025
CDS,cde_fo,EURINR,5285,OPTCUR,CE,92.5,EURINR,EURINR28APR25C92.5,EURINR APR 92.5 CE,2025-04-28,1,0.0025
CDS,cde_fo,JPYINR,5286,OPTCUR,PE,63.25,JPYINR,JPYINR16MAY25P63.25,JPYINR 16th MAY 63.25 PE,2025-05-16,1,0.0025
CDS,cde_fo,JPYINR,5287,OPTCUR,CE,58,JPYINR,JPYINR09MAY25C58,JPYINR 9th MAY 58 CE,2025-05-09,1,0.0025
CDS,cde_fo,JPYINR,5288,OPTCUR,PE,58,JPYINR,JPYINR09MAY25P58,JPYINR 9th MAY 58 PE,2025-05-09,1,0.0025
CDS,cde_fo,GBPINR,5289,OPTCUR,PE,108,GBPINR,GBPINR27MAR26P108,GBPINR 27th MAR26 108 PE,2026-03-27,1,0.0025
CDS,cde_fo,JPYINR,5290,OPTCUR,CE,63.5,JPYINR,JPYINR16MAY25C63.5,JPYINR 16th MAY 63.5 CE,2025-05-16,1,0.0025
