Exch,Exchange Segment,Symbol,Token,Instrument Type,Instrument Name,Formatted Ins Name,Lot Size,Tick Size,Trading Symbol
BSE,bse_cm,PROPEQUITY,208730,E,P. E. ANALYTICS LIMITED,PROPEQUITY,600,0.05,PROPEQUITY
BSE,bse_cm,KRISHNADEF,208731,E,KRISHNA DEF AND ALD IND L,KRISHNADEF,250,0.05,KRISHNADEF
BSE,bse_cm,JSLL,208743,E,JEENA SIKHO LIFECARE LTD,JSLL,90,0.05,JSLL
BSE,bse_cm,LEMERITE,208757,E,LE MERITE EXPORTS LIMITED,LEMERITE,800,0.05,LEMERITE
BSE,bse_cm,GSTL$,208776,E,GLOBESECURE TECHNO LTD,GSTL$,1000,0.05,GSTL$
BSE,bse_cm,RILINFRA,208791,E,RACHANA INFRA LTD,RILINFRA,100,0.05,RILINFRA
BSE,bse_cm,DUGLOBAL,208924,E,DUDIGITAL GLOBAL LIMITED,DUGLOBAL,2500,0.05,DUGLOBAL
BSE,bse_cm,MWL,208936,E,MANGALAM WORLDWIDE LTD,MWL,1200,0.05,MWL
BSE,bse_cm,SKP$,208938,E,SKP BEARING INDUSTRI. LTD,SKP$,500,0.05,SKP$
BSE,bse_cm,AGNI,208980,E,AGNI GREEN POWER LTD,AGNI,2500,0.05,AGNI
BSE,bse_cm,USASEEDS,209006,E,UPSURGE SEEDS OF AGRI LTD,USASEEDS,300,0.05,USASEEDS
BSE,bse_cm,VEEKAYEM,209046,E,VEEKAYEM FASH & APP LTD,VEEKAYEM,500,0.05,VEEKAYEM
BSE,bse_cm,DANGEE,209079,E,DANGEE DUMS LIMITED,DANGEE,1,0.01,DANGEE
BSE,bse_cm,KORE$,209084,E,JAY JALARAM TECHNO LTD,KORE$,250,0.05,KORE$
BSE,bse_cm,AMEYA,209085,E,AMEYA PRECISION ENG LTD,AMEYA,1000,0.05,AMEYA
BSE,bse_cm,JFLLIFE,209086,E,JFL LIFE SCIENCES LIMITED,JFLLIFE,6000,0.05,JFLLIFE
BSE,bse_cm,MEGAFLEX,209110,E,MEGA FLEX PLASTICS LTD,MEGAFLEX,3000,0.05,MEGAFLEX
BSE,bse_cm,SABAR,209113,E,SABAR FLEX INDIA LIMITED,SABAR,5000,0.05,SABAR
BSE,bse_cm,TAPIFRUIT,209115,E,TAPI FRUIT PROCESSING LTD,TAPIFRUIT,750,0.05,TAPIFRUIT
BSE,bse_cm,BSHSL,209123,E,BOMBAY SUPER HYBRID SEEDS,BSHSL,1,0.01,BSHSL
BSE,bse_cm,ANNAPURNA,209126,E,ANNAPURNA SWADISHT LTD,ANNAPURNA,250,0.05,ANNAPURNA
BSE,bse_cm,MAKS,209129,E,MAKS ENERGY SOL INDIA LTD,MAKS,1500,0.05,MAKS
BSE,bse_cm,KANDARP,209130,E,KANDARP DG SMART BPO LTD,KANDARP,4000,0.05,KANDARP
BSE,bse_cm,AJOONI,209169,E,AJOONI BIOTECH LIMITED,AJOONI,1,0.01,AJOONI
BSE,bse_cm,CMRSL,209170,E,CYBER MEDIA RES & SER LTD,CMRSL,800,0.05,CMRSL
BSE,bse_cm,LLOYDS,209171,E,LLOYDS LUXURIES LIMITED,LLOYDS,1000,0.05,LLOYDS
BSE,bse_cm,QMSMEDI,209172,E,QMS MEDICAL ALLIED S LTD,QMSMEDI,1000,0.05,QMSMEDI
BSE,bse_cm,SWASTIK,209173,E,SWASTIK PIPE LIMITED,SWASTIK,1200,0.05,SWASTIK
BSE,bse_cm,PHANTOMFX,209190,E,PHANTOM DIGITAL EFF LTD,PHANTOMFX,300,0.05,PHANTOMFX
